UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,max,std,count,percentile_10,percentile_90
210109,PUNO,PUNO,MAÑAZO,-0.5502434510451096,-2.1433632373809814,1.6097694635391235,1.253552700934142,13,-1.8920375108718872,1.433214545249939
081210,CUSCO,QUISPICANCHI,OCONGATE,-0.5471231287175958,-4.067562103271484,3.161684989929199,1.7656445584211744,33,-2.3548765182495117,2.01428484916687
210708,PUNO,LAMPA,PUCARA,-0.5110475752088759,-1.667381763458252,0.4902666509151459,0.6302385544297291,18,-1.3114155530929565,0.13360059261322021
040513,AREQUIPA,CAYLLOMA,MADRIGAL,-0.49630141258239746,-2.9340131282806396,2.174830913543701,1.9563178430885761,6,-2.6430587768554688,1.9333851337432861
040506,AREQUIPA,CAYLLOMA,COPORAQUE,-0.4746102809906006,-2.9478015899658203,2.0965685844421387,1.7865071109542097,5,-2.3883678913116455,1.6210496425628662
080604,CUSCO,CANCHIS,MARANGANI,-0.4679689126856187,-3.3047406673431396,2.6034903526306152,1.725669085974866,17,-2.6878581047058105,1.5155613422393799
040804,AREQUIPA,LA UNION,HUAYNACOTAS,-0.4327315966288249,-2.5302727222442627,8.364215850830078,2.0313617956746826,30,-1.668223261833191,1.1899502277374268
210701,PUNO,LAMPA,LAMPA,-0.4273017385731573,-3.9732303619384766,0.8013362288475037,1.226562654245956,23,-2.3006184101104736,0.5750737190246582
151021,LIMA,YAUYOS,MIRAFLORES,-0.3903005123138428,-0.8176241517066956,0.39324069023132324,0.4314018328694464,6,-0.799129843711853,0.1602805107831955
120809,JUNIN,YAULI,SUITUCANCHA,-0.37796136311122347,-1.274257779121399,0.5137961506843567,0.676922173411855,7,-1.1734081506729126,0.39956116676330566
210401,PUNO,CHUCUITO,JULI,-0.37639949939869066,-1.5205923318862915,3.0872042179107666,1.1874465417307565,27,-1.3417644500732422,1.518337368965149
210212,PUNO,AZANGARO,SAN JOSE,-0.32374202288114107,-3.165842056274414,1.691360354423523,1.5582814205116289,13,-2.7548441886901855,1.521380066871643
